2020-09-24 10:36:03,899 - root - INFO - 输入名称：分分
2020-09-24 10:54:58,970 - root - INFO - 输入名称：分分
2020-09-24 11:10:51,048 - root - INFO - 输入名称：分分
2020-09-24 11:11:00,955 - root - INFO - 输入名称：分分
2020-09-24 11:44:14,758 - root - INFO - 输入名称：分分
2020-09-24 13:50:28,041 - root - INFO - 分分
2020-09-24 15:19:17,237 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:19:19,711 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:19:19,828 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:19:49,024 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:19:49,194 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:19:49,552 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:19:49,699 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:19:49,839 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757824
2020-09-24 15:19:50,144 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:19:52,655 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:19:52,810 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:21:20,889 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:21:21,033 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:21:21,375 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:21:21,540 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:21:21,744 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757825
2020-09-24 15:21:22,143 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:21:24,746 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:21:25,127 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:25:14,419 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:25:14,534 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:25:14,836 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:25:14,961 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:25:15,087 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757826
2020-09-24 15:25:15,479 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:25:20,165 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:25:20,271 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:29:52,745 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:29:52,895 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:29:53,226 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:29:53,381 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:29:53,552 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757827
2020-09-24 15:29:53,901 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:31:46,812 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:31:46,970 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:31:47,361 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:31:47,486 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:31:47,621 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757827
2020-09-24 15:31:47,984 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:31:51,012 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 15:31:51,288 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 15:33:03,735 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:33:03,892 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:33:04,222 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:33:04,369 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:33:04,528 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757827
2020-09-24 15:33:04,904 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:33:27,370 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:33:27,514 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:33:27,912 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:33:28,041 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:33:28,192 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757827
2020-09-24 15:33:28,513 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:33:54,149 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:33:54,293 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:33:54,651 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:33:54,829 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:33:54,972 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757827
2020-09-24 15:33:55,309 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:35:46,004 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:35:46,163 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:35:46,464 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:35:46,574 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:35:46,681 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757827
2020-09-24 15:35:46,973 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:39:45,524 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:39:45,667 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:39:46,731 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:39:46,854 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:39:47,002 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757820
2020-09-24 15:39:47,319 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:41:18,870 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:41:18,990 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:41:20,038 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:41:20,135 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:41:20,243 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757820
2020-09-24 15:41:20,551 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:44:38,521 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:44:38,641 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:44:39,687 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:44:39,787 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:44:39,893 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757820
2020-09-24 15:44:40,196 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:54:39,132 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:54:39,295 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:54:40,338 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:54:40,428 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:54:40,559 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757820
2020-09-24 15:54:40,873 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:55:40,701 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:55:40,879 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:55:41,920 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:55:42,030 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:55:42,160 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757820
2020-09-24 15:55:42,484 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:56:18,648 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:56:18,778 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:56:19,821 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:56:19,927 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:56:20,069 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757821
2020-09-24 15:56:20,389 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:56:51,085 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:56:51,219 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:56:52,257 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:56:52,391 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:56:52,534 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757822
2020-09-24 15:56:52,873 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:57:27,147 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:57:27,361 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:57:28,412 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:57:28,511 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:57:28,647 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757828
2020-09-24 15:57:28,992 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:58:16,188 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:58:16,332 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:58:17,368 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:58:17,481 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:58:17,605 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757829
2020-09-24 15:58:17,986 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 15:59:12,929 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 15:59:13,063 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 15:59:14,110 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 15:59:14,197 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 15:59:14,304 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757830
2020-09-24 15:59:15,023 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:00:37,271 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:00:37,406 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:00:38,457 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:00:38,558 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:00:38,686 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757831
2020-09-24 16:00:39,031 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:00:39,304 - root - INFO - 元素类型 id ,属性值 lbRealName
2020-09-24 16:00:39,328 - root - INFO - test
2020-09-24 16:01:12,597 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:01:12,719 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:01:13,758 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:01:13,853 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:01:13,962 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757831
2020-09-24 16:01:14,262 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:02:48,161 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:02:48,302 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:02:49,348 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:02:49,459 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:02:49,592 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757831
2020-09-24 16:02:49,886 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:02:52,886 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:02:53,126 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:04:06,677 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:04:06,799 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:04:07,848 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:04:07,928 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:04:08,025 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:04:08,381 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:04:08,591 - root - INFO - 元素类型 id ,属性值 lbRealName
2020-09-24 16:04:08,612 - root - INFO - test
2020-09-24 16:04:13,478 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:04:13,615 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:07:28,086 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:07:28,248 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:07:29,291 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:07:29,414 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:07:29,553 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:07:29,874 - root - INFO - 鼠标点击，元素类型 id ,属性值 btnSave 
2020-09-24 16:07:39,133 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:07:39,261 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:18:09,541 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:18:09,680 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:18:10,028 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:18:10,155 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:18:10,266 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:21:31,318 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:21:31,450 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:21:31,798 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:21:31,995 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:21:32,129 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:22:24,853 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:22:25,016 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:22:25,379 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:22:25,537 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:22:25,660 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:22:54,975 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
2020-09-24 16:22:55,131 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 添加学员 
2020-09-24 16:22:55,488 - root - INFO - 切换iframe，元素类型 name ,属性值 content 
2020-09-24 16:22:55,672 - root - INFO - 输入内容，元素类型 id ,属性值 txtRealName ， 输入值分分
2020-09-24 16:22:55,875 - root - INFO - 输入内容，元素类型 id ,属性值 txtMobile ， 输入值15548757832
2020-09-24 16:23:07,642 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 教学管理 
2020-09-24 16:23:07,748 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 课程表 
2020-09-24 16:24:20,050 - root - INFO - 鼠标点击，元素类型 link_text ,属性值 学员管理 
